"Calories","Age","Gender","Duration","Heart_Rate","Weight","Height"
286.9598505,45,0,37,170,96.30111546,180.903936209186
343.4530361,25,0,43,142,61.1046681,169.428566462643
261.2234649,20,0,20,148,71.76672384,160.384589728197
127.1838584,33,0,39,170,82.98445557,156.853092350884
416.3183735,29,1,34,118,85.64317443,191.777597662725
479.7226901,60,1,41,169,80.59659152,152.360585231318
457.6313614,18,0,53,103,61.81538551,133.673055399368
272.9569819,42,0,25,104,62.80648911,168.770657766127
195.0322726,49,0,37,161,54.53768847,132.747431668238
259.5311447,41,0,55,103,97.43683277,176.65136582061
248.5361176,41,0,52,151,54.14440184,126.161009003
376.5526493,35,1,28,158,97.36896072,167.83836995816
311.1060239,54,1,48,173,84.42865874,156.384233076287
497.549588,41,0,43,121,60.02686967,144.041705095046
451.8532602,19,0,59,174,61.25935824,152.50262343662
325.056217,54,0,42,105,86.46496723,172.799552378205
216.8663933,38,1,46,119,88.31452671,161.933700531451
377.1229305,42,0,26,126,84.14403879,187.660572534235
457.6203214,40,1,23,129,70.75616296,145.901813792699
103.3354905,49,0,59,149,84.43614261,203.208941928326
335.1512709,38,0,55,114,80.99303296,180.39102699207
131.4575318,29,0,37,135,52.29681481,159.558860163643
187.2145211,54,1,26,117,69.65255976,150.872169539077
129.0192376,30,0,26,145,54.69985051,128.050142676323
293.464795,45,1,36,135,59.86013459,178.706523431235
344.1352887,24,0,57,159,72.0983609,151.109122670048
297.6813903,56,0,39,133,81.68863135,201.932836170138
126.4961165,54,0,33,118,98.57062426,228.081976450098
279.7251573,21,0,21,164,78.70795184,192.052090092469
214.2193561,55,1,48,155,49.31561328,129.878271593213
115.3368677,47,0,26,154,86.24767046,197.212935917906
444.6904555,24,0,37,168,86.45526301,188.341934068361
261.0427782,57,1,47,111,90.68068215,172.64518324037
343.2067297,30,1,31,170,77.83226162,176.634597698862
483.4970362,52,1,49,121,78.03340967,172.320623942031
364.4688538,20,0,43,103,95.66982226,196.278216745917
353.2051257,37,0,51,155,54.53063568,125.960222562909
182.3335938,47,1,25,106,96.08917838,184.66599166642
316.0366931,28,1,31,157,79.82720402,191.482396096917
280.5911131,57,1,27,150,99.0966335,175.292489007517
240.9247871,41,1,53,162,100.8967673,191.921774511143
